sentence,label
"Kanina, pinag-usapan natin yung feedback.",0
Kindly i-test ang slides natin next week.,1
The dataset was uploaded to the shared drive.,0
"Kanina, pinag-usapan natin yung feedback.",0
Kindly ensure you organize the bug fix before class.,1
"Kanina, pinag-usapan natin yung testing results.",0
Na-check ko na yung link ay na-finalize na natin.,0
The supervisor asked to refactor the final thesis chapter before the next meeting.,1
The deadline for the assignment is next Friday.,0
The meeting started at 9 AM.,0
The development phase will begin next week.,0
The team talked about possible improvements for the application.,0
"Sige, ako na bahala sa ui design as soon as possible.",1
The team talked about possible improvements for the application.,0
Na-check ko na yung testing results is currently being processed.,0
"Sige, paki-i-check yung schedule before Friday natin.",1
The team analyzed the feedback from users.,0
The instructor reminded us to compile the testing results by Monday to ensure progress.,1
The team talked about possible improvements for the application.,0
Please i-submit ang file natin as soon as possible.,1
The discussion focused on the testing strategy.,0
Kindly i-confirm ang schedule natin sa Monday.,1
The coordinator told the team to present the deployment script by tonight.,1
Kindly i-check yung report bukas muna.,1
The meeting started at 9 AM.,0
The project proposal was reviewed by the panel.,0
"Sige, ako na bahala sa document next week.",1
The supervisor asked to ensure you improve the deployment script by tomorrow.,1
The professor provided guidance for the methodology section.,0
The professor explained the requirements for the project.,0
"Kanina, pinag-usapan natin yung ui design.",0
"Kanina, pinag-usapan natin yung database.",0
Kindly investigate the presentation slides by Monday.,1
Regarding sa testing results is currently being processed.,0
Paki-i-install yung module as soon as possible muna.,1
"Sige, ako na bahala sa prototype bukas.",1
Kindly i-install yung slides sa susunod na meeting muna.,1
The team analyzed the feedback from users.,0
The meeting concluded that we should make sure to plan the project report by the end of the week.,1
"Sige, ako na bahala sa file sa susunod na meeting.",1
Ang file ay ay okay na.,0
"Sige, ako na bahala sa minutes of meeting before Friday.",1
The supervisor asked to ensure you submit the deployment script by the end of the month.,1
The instructor reminded us to test the deployment script before submission day.,1
The system update was completed successfully.,0
"Sige, ako na bahala sa code ngayong hapon.",1
Please i-prepare yung api next week po.,1
Kindly i-review ang link natin by the end of the day.,1
Please i-review ang presentation natin ngayong hapon.,1
The meeting concluded that we should approve the project proposal before submission day for the project.,1
The instructor reminded us to compile the UI prototype by the end of the week for the project.,1
The professor provided guidance for the methodology section.,0
"Kanina, pinag-usapan natin yung slides.",0
Ang file ay is good to go.,0
The team discussed the new system architecture.,0
The meeting started at 9 AM.,0
The professor asked to ensure you fix the testing plan before the presentation.,1
The research topic was approved during the meeting.,0
Ang report ay is good to go.,0
Regarding sa database is currently being processed.,0
The deadline for the assignment is next Friday.,0
Ang prototype ay ay okay na.,0
Our senior advised to design the experiment results before class to ensure progress.,1
"Pakisuyo po, i-download yung slides ngayong hapon natin.",1
The project manager instructed to gather the deployment script before the deadline for the project.,1
The presentation schedule was announced today.,0
The presentation schedule was announced today.,0
Ang api ay is currently being processed.,0
The research topic was approved during the meeting.,0
Na-check ko na yung system is currently being processed.,0
The project manager instructed to refactor the bug fix by the end of the week to ensure progress.,1
"Sige, ako na bahala sa budget as soon as possible.",1
Our senior advised to make sure to investigate the weekly report by the end of the day.,1
"Kanina, pinag-usapan natin yung requirements.",0
Please ensure you investigate the survey results before Friday.,1
Kindly plan the documentation by tonight to ensure progress.,1
"Sige, ako na bahala sa schedule before Friday.",1
The instructor reminded us to finalize the API documentation by tomorrow.,1
"Kanina, pinag-usapan natin yung system.",0
Na-check ko na yung slides ay okay na.,0
Approved na yung prototype is good to go.,0
Please analyze the project report by the end of the month to ensure progress.,1
The professor asked to resolve the weekly report before the deadline for the project.,1
"Sige, ako na bahala sa file bukas.",1
Our senior advised to make sure to gather the meeting summary before submission day.,1
The discussion focused on the testing strategy.,0
Kindly isulat ang feedback natin ngayong hapon.,1
"Kanina, pinag-usapan natin yung budget.",0
"Sige, ako na bahala sa slides next week.",1
The professor asked to investigate the survey results by tomorrow to ensure progress.,1
Tapos na yung code ay okay na.,0
"Kanina, pinag-usapan natin yung budget.",0
The meeting concluded that we should draft the meeting summary by next meeting for the project.,1
Kindly i-review ang slides natin bukas.,1
The project manager instructed to improve the UI prototype by the end of the week.,1
"Kanina, pinag-usapan natin yung budget.",0
Ongoing pa yung code ay na-finalize na natin.,0
"Kanina, pinag-usapan natin yung prototype.",0
The professor asked to collect the final thesis chapter by next meeting for the project.,1
"Sige, ako na bahala sa prototype as soon as possible.",1
The presentation schedule was announced today.,0
"Pakisuyo po, i-save yung api by the end of the day please.",1
The supervisor asked to finish the project report this week.,1
"Kanina, pinag-usapan natin yung requirements.",0
Paki-i-upload ang feedback natin bukas.,1
Ang link ay is good to go.,0
The project proposal was reviewed by the panel.,0
"Sige, ako na bahala sa presentation bukas.",1
The deadline for the assignment is next Friday.,0
The project proposal was reviewed by the panel.,0
The dataset was uploaded to the shared drive.,0
The coordinator told the team to ensure you implement the meeting summary by tonight.,1
The team leader requested to coordinate the project report by the end of the week to ensure progress.,1
Please isulat yung report next week po.,1
The team analyzed the feedback from users.,0
The professor provided guidance for the methodology section.,0
The instructor reminded us to make sure to summarize the presentation slides before the presentation.,1
Ang database ay ay na-finalize na natin.,0
Kindly distribute the progress report this week.,1
"Kanina, pinag-usapan natin yung budget.",0
Kindly make sure to schedule the code module before the deadline.,1
"Kanina, pinag-usapan natin yung slides.",0
The coordinator told the team to make sure to prepare the assignment by the end of the week.,1
"Pakisuyo po, i-send ang requirements natin ngayong hapon.",1
"Sige, paki-i-send ang feedback natin mamaya.",1
The presentation schedule was announced today.,0
"Sige, ako na bahala sa file before Friday.",1
Ang document ay ay na-finalize na natin.,0
The team talked about possible improvements for the application.,0
The team talked about possible improvements for the application.,0
The presentation schedule was announced today.,0
The group meeting lasted for two hours.,0
The team analyzed the feedback from users.,0
"Sige, ako na bahala sa requirements sa Monday.",1
The meeting started at 9 AM.,0
The discussion focused on the testing strategy.,0
About sa presentation is good to go.,0
Ang code ay is currently being processed.,0
The dataset was uploaded to the shared drive.,0
"Sige, paki-i-confirm yung prototype bukas please.",1
Paki-i-upload ang feedback natin bukas.,1
The professor asked to make sure to implement the presentation slides by tonight.,1
The instructor reminded us to document the project report before class.,1
The team leader requested to coordinate the meeting summary by the end of the month.,1
The team leader requested to make sure to test the final thesis chapter before the deadline.,1
The system update was completed successfully.,0
"Sige, ako na bahala sa feedback next week.",1
About sa code ay na-finalize na natin.,0
Paki-i-check yung system sa Monday po.,1
Kindly make sure to present the code module by the end of the week.,1
The discussion focused on the testing strategy.,0
"Kanina, pinag-usapan natin yung api.",0
"Sige, ako na bahala sa code sa Monday.",1
The project manager instructed to make sure to send the dataset before the deadline.,1
About sa api ay okay na.,0
The team analyzed the feedback from users.,0
The system update was completed successfully.,0
Paki-i-check yung feedback sa Monday agad.,1
"Kanina, pinag-usapan natin yung file.",0
The supervisor asked to ensure you present the dataset by tonight.,1
Kindly upload the user feedback report before the deadline for the project.,1
"Kanina, pinag-usapan natin yung ui design.",0
The professor asked to send the user feedback report by the end of the day.,1
Ang minutes of meeting ay ay okay na.,0
About sa feedback ay okay na.,0
Paki-i-email ang budget natin sa Monday.,1
The supervisor asked to complete the documentation by next meeting for the project.,1
The meeting concluded that we should validate the progress report by the end of the day for the project.,1
Kindly i-print yung testing results as soon as possible please.,1
The dataset was uploaded to the shared drive.,0
Ang prototype ay ay tapos na po.,0
"Sige, ako na bahala sa code bukas.",1
The professor asked to update the progress report before the deadline.,1
Ang testing results ay ay na-finalize na natin.,0
Kindly i-finalize ang minutes of meeting natin sa susunod na meeting.,1
Ang code ay is good to go.,0
The team leader requested to make sure to update the meeting notes before Friday.,1
Approved na yung code ay na-finalize na natin.,0
The team discussed the new system architecture.,0
Ang slides ay is currently being processed.,0
The team leader requested to make sure to compile the code module by tomorrow.,1
The instructor reminded us to schedule the meeting summary by tonight for the project.,1
The team talked about possible improvements for the application.,0
The professor asked to arrange the presentation slides before the deadline to ensure progress.,1
"Kanina, pinag-usapan natin yung schedule.",0
The professor explained the requirements for the project.,0
"Sige, ako na bahala sa testing results next week.",1
The system update was completed successfully.,0
"Kanina, pinag-usapan natin yung prototype.",0
The research topic was approved during the meeting.,0
The group meeting lasted for two hours.,0
"Kanina, pinag-usapan natin yung minutes of meeting.",0
"Pakisuyo po, i-finalize ang system natin sa susunod na meeting.",1
Regarding sa api ay tapos na po.,0
The system update was completed successfully.,0
The discussion focused on the testing strategy.,0
The coordinator told the team to gather the weekly report by tomorrow.,1
Kindly isulat ang file natin as soon as possible.,1
The coordinator told the team to make sure to collect the system design before the deadline.,1
The professor asked to ensure you upload the meeting notes before the next meeting.,1
The presentation schedule was announced today.,0
"Sige, ako na bahala sa code before Friday.",1
The meeting started at 9 AM.,0
Please tawagan ang minutes of meeting natin mamaya.,1
The supervisor asked to implement the testing results this week to ensure progress.,1
Tapos na yung ui design ay tapos na po.,0
The system update was completed successfully.,0
Kindly isulat yung module next week agad.,1
The meeting concluded that we should investigate the testing results by the end of the day.,1
The team leader requested to schedule the user feedback report by the end of the month to ensure progress.,1
The development phase will begin next week.,0
"Sige, paki-i-print ang presentation natin as soon as possible.",1
The professor explained the requirements for the project.,0
Kindly i-print yung ui design sa susunod na meeting po.,1
The team talked about possible improvements for the application.,0
The group meeting lasted for two hours.,0
The coordinator told the team to design the progress report by Monday to ensure progress.,1
The team leader requested to revise the documentation by next meeting to ensure progress.,1
Approved na yung system ay tapos na po.,0
"Sige, ako na bahala sa feedback sa Monday.",1
"Sige, ako na bahala sa requirements by the end of the day.",1
"Sige, ako na bahala sa presentation next week.",1
The instructor reminded us to ensure you confirm the research paper by the end of the week.,1
"Pakisuyo po, i-save yung testing results mamaya po.",1
The deadline for the assignment is next Friday.,0
Our senior advised to investigate the user feedback report before the deadline to ensure progress.,1
The discussion focused on the testing strategy.,0
The team analyzed the feedback from users.,0
The research topic was approved during the meeting.,0
The team analyzed the feedback from users.,0
The deadline for the assignment is next Friday.,0
Ang slides ay ay na-finalize na natin.,0
"Pakisuyo po, i-finalize ang requirements natin next week.",1
Ang database ay ay okay na.,0
The instructor reminded us to plan the final thesis chapter before class to ensure progress.,1
"Kanina, pinag-usapan natin yung schedule.",0
The group meeting lasted for two hours.,0
Ang file ay ay na-finalize na natin.,0
"Sige, paki-i-finalize ang document natin before Friday.",1
Our senior advised to draft the task list this week to ensure progress.,1
"Pakisuyo po, i-upload yung document sa Monday muna.",1
The instructor reminded us to make sure to deploy the user feedback report by tonight.,1
The discussion focused on the testing strategy.,0
Paki-i-save yung link before Friday agad.,1
Please i-send yung feedback sa susunod na meeting po.,1
"Kanina, pinag-usapan natin yung api.",0
Kindly i-install ang presentation natin by the end of the day.,1
"Kanina, pinag-usapan natin yung document.",0
The meeting started at 9 AM.,0
The professor explained the requirements for the project.,0
The research topic was approved during the meeting.,0
"Kanina, pinag-usapan natin yung module.",0
Ongoing pa yung minutes of meeting is good to go.,0
The meeting concluded that we should distribute the system design by the end of the week.,1
Please review the system design by Monday.,1
The system update was completed successfully.,0
The professor asked to deliver the UI prototype by Monday to ensure progress.,1
Please deliver the testing results by Monday.,1
Please arrange the progress report before the presentation.,1
Tapos na yung ui design ay na-finalize na natin.,0
The instructor reminded us to ensure you present the UI prototype before class.,1
The project manager instructed to ensure you validate the experiment results before the next meeting.,1
The meeting started at 9 AM.,0
"Kanina, pinag-usapan natin yung system.",0
Regarding sa minutes of meeting ay tapos na po.,0
The dataset was uploaded to the shared drive.,0
Ang system ay ay okay na.,0
The research topic was approved during the meeting.,0
Please finish the code module by tonight.,1
"Sige, paki-isulat yung budget mamaya please.",1
The team analyzed the feedback from users.,0
"Sige, ako na bahala sa file before Friday.",1
Kindly finish the final thesis chapter before Friday for the project.,1
The team leader requested to submit the deployment script before Friday.,1
The dataset was uploaded to the shared drive.,0
About sa slides is currently being processed.,0
"Sige, ako na bahala sa presentation next week.",1
The team leader requested to make sure to investigate the progress report by the end of the day.,1
The instructor reminded us to draft the testing results by tonight.,1
"Sige, ako na bahala sa slides mamaya.",1
Please ensure you draft the project report before submission day.,1
"Pakisuyo po, i-test ang system natin by the end of the day.",1
Paki-i-print ang minutes of meeting natin sa susunod na meeting.,1
The professor provided guidance for the methodology section.,0
Kindly i-confirm ang prototype natin sa Monday.,1
Our senior advised to upload the meeting notes before submission day for the project.,1
The discussion focused on the testing strategy.,0
The professor asked to ensure you refactor the presentation slides by the end of the day.,1
The professor explained the requirements for the project.,0
The research topic was approved during the meeting.,0
Please i-record ang prototype natin sa Monday.,1
The coordinator told the team to analyze the system design before the presentation.,1
"Kanina, pinag-usapan natin yung prototype.",0
Discussed na natin yung module is currently being processed.,0
The professor explained the requirements for the project.,0
Please finish the research paper before the presentation.,1
The team leader requested to draft the research paper before Friday for the project.,1
Ang api ay is good to go.,0
"Sige, ako na bahala sa schedule as soon as possible.",1
The professor explained the requirements for the project.,0
The project manager instructed to present the documentation by tonight.,1
"Sige, ako na bahala sa feedback mamaya.",1
The system update was completed successfully.,0
"Pakisuyo po, i-finalize ang requirements natin by the end of the day.",1
Please distribute the presentation slides this week.,1
Paki-i-print yung api sa Monday po.,1
The team analyzed the feedback from users.,0
"Kanina, pinag-usapan natin yung document.",0
The development phase will begin next week.,0
Tapos na yung document ay tapos na po.,0
The instructor reminded us to ensure you plan the dataset by Monday.,1
"Kanina, pinag-usapan natin yung document.",0
Regarding sa testing results is good to go.,0
Please i-install ang database natin next week.,1
"Sige, ako na bahala sa minutes of meeting as soon as possible.",1
"Kanina, pinag-usapan natin yung ui design.",0
The professor asked to make sure to finalize the bug fix by tomorrow.,1
Ang presentation ay ay na-finalize na natin.,0
About sa system is good to go.,0
The deadline for the assignment is next Friday.,0
"Sige, ako na bahala sa link next week.",1
The team talked about possible improvements for the application.,0
"Sige, ako na bahala sa feedback sa Monday.",1
The research topic was approved during the meeting.,0
Discussed na natin yung api ay na-finalize na natin.,0
Paki-i-check yung database bukas agad.,1
The system update was completed successfully.,0
Na-check ko na yung code ay okay na.,0
The instructor reminded us to complete the task list by Monday for the project.,1
The presentation schedule was announced today.,0
The supervisor asked to send the testing results by the end of the month.,1
"Kanina, pinag-usapan natin yung database.",0
Please make sure to improve the system design by the end of the day.,1
The professor explained the requirements for the project.,0
"Sige, ako na bahala sa file before Friday.",1
The project proposal was reviewed by the panel.,0
Kindly ayusin yung module sa Monday po.,1
The team talked about possible improvements for the application.,0
The team analyzed the feedback from users.,0
The team talked about possible improvements for the application.,0
The meeting concluded that we should implement the project report by tonight for the project.,1
The meeting started at 9 AM.,0
The project manager instructed to analyze the UI prototype by tomorrow for the project.,1
Paki-i-save yung slides sa Monday natin.,1
The project manager instructed to make sure to fix the presentation slides by the end of the month.,1
"Sige, paki-tawagan yung feedback by the end of the day muna.",1
Discussed na natin yung ui design ay na-finalize na natin.,0
Approved na yung minutes of meeting ay tapos na po.,0
The supervisor asked to make sure to validate the meeting summary before the presentation.,1
The professor provided guidance for the methodology section.,0
The supervisor asked to test the user feedback report by the end of the month for the project.,1
Ongoing pa yung ui design is good to go.,0
Please gather the project proposal by tonight.,1
Ang database ay is good to go.,0
The discussion focused on the testing strategy.,0
"Pakisuyo po, i-review yung minutes of meeting sa Monday po.",1
The dataset was uploaded to the shared drive.,0
The meeting started at 9 AM.,0
The supervisor asked to make sure to implement the project report before the presentation.,1
Ang api ay ay na-finalize na natin.,0
Please submit the survey results before class for the project.,1
The coordinator told the team to make sure to send the documentation this week.,1
Ang system ay ay tapos na po.,0
The project manager instructed to make sure to edit the testing plan by tonight.,1
"Sige, ako na bahala sa database bukas.",1
The meeting started at 9 AM.,0
"Pakisuyo po, i-save yung presentation by the end of the day please.",1
Approved na yung prototype ay okay na.,0
"Sige, ako na bahala sa system sa susunod na meeting.",1
Our senior advised to finish the weekly report by the end of the day.,1
"Sige, ako na bahala sa testing results as soon as possible.",1
"Sige, paki-ayusin ang module natin by the end of the day.",1
Please i-finalize ang slides natin next week.,1
"Sige, ako na bahala sa prototype mamaya.",1
Kindly approve the meeting notes by next meeting to ensure progress.,1
The meeting started at 9 AM.,0
The system update was completed successfully.,0
The coordinator told the team to make sure to update the dataset by the end of the week.,1
Ang testing results ay ay na-finalize na natin.,0
The system update was completed successfully.,0
The coordinator told the team to ensure you finish the API documentation by tonight.,1
Ang system ay ay na-finalize na natin.,0
Our senior advised to confirm the user feedback report before the next meeting.,1
The professor provided guidance for the methodology section.,0
Please validate the presentation slides before submission day to ensure progress.,1
Ang slides ay is good to go.,0
"Sige, ako na bahala sa system before Friday.",1
"Sige, paki-i-review ang schedule natin before Friday.",1
The group meeting lasted for two hours.,0
The instructor reminded us to test the meeting summary by the end of the month to ensure progress.,1
"Kanina, pinag-usapan natin yung database.",0
Please complete the weekly report before class to ensure progress.,1
"Kanina, pinag-usapan natin yung feedback.",0
"Kanina, pinag-usapan natin yung system.",0
"Kanina, pinag-usapan natin yung module.",0
"Sige, ako na bahala sa link mamaya.",1
Please ayusin yung schedule next week please.,1
Paki-i-upload ang requirements natin bukas.,1
The coordinator told the team to validate the UI prototype by Monday to ensure progress.,1
The instructor reminded us to send the task list before class to ensure progress.,1
"Kanina, pinag-usapan natin yung requirements.",0
Please i-install ang system natin next week.,1
Ang requirements ay is currently being processed.,0
"Kanina, pinag-usapan natin yung schedule.",0
Please plan the bug fix by tonight.,1
The supervisor asked to make sure to gather the user feedback report by the end of the day.,1
Paki-i-record yung minutes of meeting by the end of the day po.,1
The meeting started at 9 AM.,0
Ang ui design ay is currently being processed.,0
The project proposal was reviewed by the panel.,0
The system update was completed successfully.,0
The dataset was uploaded to the shared drive.,0
The dataset was uploaded to the shared drive.,0
The research topic was approved during the meeting.,0
"Sige, ako na bahala sa file ngayong hapon.",1
Please investigate the database schema this week to ensure progress.,1
Please i-email ang testing results natin bukas.,1
The supervisor asked to ensure you implement the survey results by the end of the week.,1
Our senior advised to review the meeting notes this week for the project.,1
The dataset was uploaded to the shared drive.,0
Ang system ay is currently being processed.,0
Please ensure you approve the task list before Friday.,1
The project manager instructed to compile the project report before Friday for the project.,1
The research topic was approved during the meeting.,0
The instructor reminded us to revise the UI prototype by the end of the week for the project.,1
Kindly arrange the progress report by tonight to ensure progress.,1
The presentation schedule was announced today.,0
The deadline for the assignment is next Friday.,0
